"Gene","logFC_12649","P_12649","logFC_21138","P_21138","logFC_53987","P_53987","MetaP","FDR","Direction","MeanLogFC"
"TP53BP2",0.405839416763867,0.00688890580477466,0.36276024034742,0.0159927219036361,0.376313884995803,0.00227006623379306,3.2948696359394e-05,0.00295152149663565,"Consistent",0.38163784736903
"ZNF292",0.182927311692909,0.0145161170933094,-0.033248574,0.177255332490211,0.264075078730992,0.000105931036542765,3.55298402414063e-05,0.00306434104124167,"Mixed",0.137917938807967
"ERLIN2",0.218841603466156,0.0146821116078032,0.230614354887066,0.0780615167402115,0.290027514933215,0.000236902564292846,3.54097548344252e-05,0.00306434104124167,"Consistent",0.246494491095479
"PHF3",0.108504471690074,0.130983412388353,0.198755696876988,0.00251624254218621,0.184488580980062,0.000817484097607624,3.51713772456603e-05,0.00306434104124167,"Consistent",0.163916249849041
"SPON1",0.18812818813059,0.0124351958424549,0.346885508749909,0.051000145023104,0.522629205457443,0.000437884555351744,3.6116082567655e-05,0.00308626181888994,"Consistent",0.352547634112647
"UNG",0.183898514142775,0.0136892265114043,0.210148425767644,0.0368598926521331,0.299075002803277,0.000562175892905356,3.67942585060363e-05,0.00310338067360328,"Consistent",0.231040647571232
"LEPROT",0.2180836399274,0.0574701106190128,0.366771950744251,0.00430432399527343,0.322955956683114,0.00114074570723494,3.66262028562127e-05,0.00310338067360328,"Consistent",0.302603849118255
"ZMYM2",0.177956569234997,0.023439847712161,-0.115453565,0.00779542897827849,0.203295409317087,0.00159693204860828,3.7716671550453e-05,0.00316065707592796,"Mixed",0.0885994711840279
"MT3",0.137466665122702,0.0627017463438453,0.165985979355833,0.0220392964341176,0.241410055535001,0.000214940136848236,3.83079424195251e-05,0.00318962733389238,"Consistent",0.181620900004512
"MCL1",-0.0526832244575641,0.292672631843663,0.326029175652058,0.00084933954881927,0.35318781546624,0.00122723439645124,3.92141213563098e-05,0.00324428167068222,"Mixed",0.208844588886911
"NOTCH2",0.419353422904359,0.0104940620326438,0.453350847895859,0.028268880712437,0.483187188491672,0.0010744331310091,4.07483001536346e-05,0.00330799794184725,"Consistent",0.451963819763963
"HES1",-0.121230465551728,0.0501440245948197,0.405648680748224,0.000447151636787744,0.462355989129921,0.0144539178679127,4.13461154691557e-05,0.0033150907026473,"Mixed",0.248924734775472
"ANGPTL4",0.11445805490149,0.336283148172999,0.291689125930681,0.0119207009125973,0.688689689410467,8.60181656232128e-05,4.36515371306856e-05,0.00345725497433216,"Consistent",0.364945623414213
"SDC4",0.482179519049322,0.00811806485581157,0.60740497873549,0.0140103031907068,0.538751060073258,0.00306089909664552,4.40180225566547e-05,0.00346515209083872,"Consistent",0.542778519286023
"HIF3A",0.175879040752653,0.0325350623822081,0.21513049323669,0.00131014494766715,0.417568733593851,0.00861790397287826,4.61340518109858e-05,0.00354197724913379,"Consistent",0.269526089194398
"RBM48",0.215951759853439,0.0929816411544792,-0.105064256,0.0266743949235368,0.272844641553549,0.000153952406292691,4.77208421432299e-05,0.00354197724913379,"Mixed",0.127910715135663
"CHST3",0.172151576349048,0.10966947656357,0.206186676204879,0.00681902522805705,0.359600152238048,0.000506095611987893,4.73538001697823e-05,0.00354197724913379,"Consistent",0.245979468263992
"SRSF11",0.174909864108689,0.00367674887768428,0.177456722378968,0.0594768227509829,0.233093668643813,0.00180829352537527,4.92027165069108e-05,0.00361070104354952,"Consistent",0.195153418377156
"REV3L",0.201620023123791,0.00146078820370521,0.123435870673074,0.225432677073745,0.192961841178729,0.00124038364887519,5.06157069647897e-05,0.00363230617550085,"Consistent",0.172672578325198
"SAT1",-0.0791659693622018,0.342382246800106,0.20488302975216,0.00718835097938066,0.29609430823368,0.000165258720724538,5.04272449451626e-05,0.00363230617550085,"Mixed",0.140603789541213
